dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,5,zhang_mean_k2,383.899,0.507,0.377,0.411,2|5|7|8|16,0
indian_pines,10,zhang_mean_k2,0.0,0.648,0.579,0.595,2|5|6|7|8|10|14|16|30|179,0
indian_pines,15,zhang_mean_k2,0.0,0.74,0.681,0.702,2|5|6|7|8|10|14|16|19|30|127|151|161|179|183,0
indian_pines,20,zhang_mean_k2,0.0,0.793,0.825,0.763,2|5|6|7|8|10|14|16|19|26|30|40|76|127|151|161|169|179|181|183,0
indian_pines,25,zhang_mean_k2,0.0,0.828,0.832,0.803,2|5|6|7|8|10|13|14|16|19|26|30|40|59|72|76|120|127|151|161|169|179|181|183|187,0
indian_pines,30,zhang_mean_k2,0.0,0.847,0.892,0.825,2|5|6|7|8|10|13|14|16|19|26|30|34|35|40|41|59|63|72|76|99|120|127|151|161|169|179|181|183|187,0
