dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,zhang_mean_fc_nosig14_nol2,215.88,0.809,0.79,0.782,3|5|6|18|23|26|33|34|35|40|56|58|60|72|74|75|87|88|89|92|93|98|114|142|148|177|183|184|185|195||2|5|18|20|23|30|33|34|35|39|40|56|58|60|72|74|75|87|88|93|100|114|132|142|148|177|183|184|185|186||2|3|6|8|18|23|28|33|35|40|56|58|72|74|75|87|88|89|90|92|93|98|114|142|148|177|183|184|185|186||2|3|8|9|18|23|30|33|34|39|40|56|58|72|74|75|86|87|88|89|93|114|115|142|148|177|183|184|185|186||2|3|5|8|20|22|23|28|33|34|40|56|58|72|74|87|88|89|92|93|98|114|118|142|148|177|183|184|185|186||2|3|18|19|20|23|29|34|40|56|58|60|72|74|75|87|88|89|90|93|98|115|141|142|148|177|183|184|185|186||2|5|6|20|23|26|33|34|40|56|60|72|74|75|87|88|89|90|93|98|114|142|147|148|177|183|184|185|186|198||5|6|20|22|23|29|33|34|35|39|40|56|58|60|61|72|74|87|89|90|93|98|114|142|148|177|183|184|185|195||2|8|18|20|23|30|33|34|35|39|40|56|58|72|74|75|87|88|89|90|93|98|115|142|148|177|183|184|185|186||2|5|19|23|30|33|34|40|45|56|60|72|74|75|85|87|88|89|90|92|93|98|111|142|148|177|183|184|185|186
indian_pines,29,zhang_mean_fc_nosig14_nol2,0.0,0.808,0.793,0.781,3|5|6|18|23|26|33|34|35|40|56|58|60|72|74|75|88|89|92|93|98|114|142|148|177|183|184|185|195||2|5|18|20|23|30|33|34|35|40|56|58|60|72|74|75|87|88|93|100|114|132|142|148|177|183|184|185|186||2|3|6|8|23|28|33|35|40|56|58|72|74|75|87|88|89|90|92|93|98|114|142|148|177|183|184|185|186||2|3|8|18|23|30|33|34|39|40|56|58|72|74|75|86|87|88|89|93|114|115|142|148|177|183|184|185|186||2|3|5|8|20|22|23|33|34|40|56|58|72|74|87|88|89|92|93|98|114|118|142|148|177|183|184|185|186||2|3|18|19|23|29|34|40|56|58|60|72|74|75|87|88|89|90|93|98|115|141|142|148|177|183|184|185|186||5|6|20|23|26|33|34|40|56|60|72|74|75|87|88|89|90|93|98|114|142|147|148|177|183|184|185|186|198||5|6|20|22|23|29|33|34|35|39|40|56|58|60|72|74|87|89|90|93|98|114|142|148|177|183|184|185|195||2|8|18|23|30|33|34|35|39|40|56|58|72|74|75|87|88|89|90|93|98|115|142|148|177|183|184|185|186||2|5|19|23|30|33|34|40|45|56|60|72|74|75|85|87|88|89|92|93|98|111|142|148|177|183|184|185|186
indian_pines,28,zhang_mean_fc_nosig14_nol2,0.0,0.809,0.795,0.782,3|5|6|18|23|26|33|34|35|40|56|58|72|74|75|88|89|92|93|98|114|142|148|177|183|184|185|195||5|18|20|23|30|33|34|35|40|56|58|60|72|74|75|87|88|93|100|114|132|142|148|177|183|184|185|186||2|3|6|23|28|33|35|40|56|58|72|74|75|87|88|89|90|92|93|98|114|142|148|177|183|184|185|186||2|3|8|18|23|30|33|34|40|56|58|72|74|75|86|87|88|89|93|114|115|142|148|177|183|184|185|186||2|3|5|8|22|23|33|34|40|56|58|72|74|87|88|89|92|93|98|114|118|142|148|177|183|184|185|186||2|3|18|19|23|29|34|40|56|58|60|72|74|75|88|89|90|93|98|115|141|142|148|177|183|184|185|186||5|6|20|23|26|33|34|40|56|60|72|74|75|87|88|89|90|93|98|114|142|147|148|177|183|184|185|186||5|6|20|23|29|33|34|35|39|40|56|58|60|72|74|87|89|90|93|98|114|142|148|177|183|184|185|195||2|8|18|23|30|33|34|35|39|40|56|58|72|74|75|87|88|89|93|98|115|142|148|177|183|184|185|186||2|5|19|23|30|33|34|40|45|56|60|72|74|75|85|88|89|92|93|98|111|142|148|177|183|184|185|186
indian_pines,27,zhang_mean_fc_nosig14_nol2,0.0,0.809,0.79,0.782,3|5|6|18|23|26|33|34|35|40|56|58|72|74|75|88|89|92|93|98|114|142|148|177|183|184|185||5|18|23|30|33|34|35|40|56|58|60|72|74|75|87|88|93|100|114|132|142|148|177|183|184|185|186||3|6|23|28|33|35|40|56|58|72|74|75|87|88|89|90|92|93|98|114|142|148|177|183|184|185|186||2|3|8|18|23|30|33|34|40|56|58|72|74|75|87|88|89|93|114|115|142|148|177|183|184|185|186||3|5|8|22|23|33|34|40|56|58|72|74|87|88|89|92|93|98|114|118|142|148|177|183|184|185|186||2|3|18|23|29|34|40|56|58|60|72|74|75|88|89|90|93|98|115|141|142|148|177|183|184|185|186||5|6|20|23|26|33|34|40|56|72|74|75|87|88|89|90|93|98|114|142|147|148|177|183|184|185|186||5|6|23|29|33|34|35|39|40|56|58|60|72|74|87|89|90|93|98|114|142|148|177|183|184|185|195||2|8|18|23|30|33|34|35|39|40|56|58|72|74|75|88|89|93|98|115|142|148|177|183|184|185|186||2|5|23|30|33|34|40|45|56|60|72|74|75|85|88|89|92|93|98|111|142|148|177|183|184|185|186
indian_pines,26,zhang_mean_fc_nosig14_nol2,0.0,0.809,0.797,0.782,3|5|6|18|23|26|33|34|35|40|56|58|72|74|75|88|89|93|98|114|142|148|177|183|184|185||5|18|23|30|33|34|35|40|56|58|72|74|75|87|88|93|100|114|132|142|148|177|183|184|185|186||3|6|23|28|33|35|40|56|58|72|74|75|88|89|90|92|93|98|114|142|148|177|183|184|185|186||2|3|8|23|30|33|34|40|56|58|72|74|75|87|88|89|93|114|115|142|148|177|183|184|185|186||3|5|8|22|23|33|34|40|56|58|72|74|87|88|89|93|98|114|118|142|148|177|183|184|185|186||2|3|18|23|29|34|40|56|58|72|74|75|88|89|90|93|98|115|141|142|148|177|183|184|185|186||5|6|20|23|26|33|34|40|56|72|74|75|87|88|89|93|98|114|142|147|148|177|183|184|185|186||5|6|23|29|33|34|35|39|40|56|58|60|72|74|87|89|90|93|98|114|142|148|177|183|184|185||8|18|23|30|33|34|35|39|40|56|58|72|74|75|88|89|93|98|115|142|148|177|183|184|185|186||2|5|23|30|33|34|40|45|56|72|74|75|85|88|89|92|93|98|111|142|148|177|183|184|185|186
indian_pines,25,zhang_mean_fc_nosig14_nol2,0.0,0.81,0.802,0.784,5|6|18|23|26|33|34|35|40|56|58|72|74|75|88|89|93|98|114|142|148|177|183|184|185||5|18|23|30|33|34|35|40|56|58|72|74|75|88|93|100|114|132|142|148|177|183|184|185|186||3|6|23|28|33|35|40|56|58|72|74|75|88|89|90|93|98|114|142|148|177|183|184|185|186||3|8|23|30|33|34|40|56|58|72|74|75|87|88|89|93|114|115|142|148|177|183|184|185|186||3|5|8|23|33|34|40|56|58|72|74|87|88|89|93|98|114|118|142|148|177|183|184|185|186||2|3|18|23|29|34|40|56|58|72|74|75|88|89|93|98|115|141|142|148|177|183|184|185|186||5|6|20|23|26|33|34|40|56|72|74|75|87|89|93|98|114|142|147|148|177|183|184|185|186||5|6|23|29|33|34|35|39|40|56|58|72|74|87|89|90|93|98|114|142|148|177|183|184|185||8|18|23|30|33|34|35|39|40|56|58|72|74|75|88|89|93|98|115|148|177|183|184|185|186||2|5|23|30|33|34|40|45|56|72|74|75|85|88|89|92|98|111|142|148|177|183|184|185|186
indian_pines,24,zhang_mean_fc_nosig14_nol2,0.0,0.809,0.796,0.782,5|6|18|23|26|33|34|35|40|56|58|72|74|88|89|93|98|114|142|148|177|183|184|185||5|18|23|30|33|34|35|40|56|58|72|74|75|88|93|100|114|132|148|177|183|184|185|186||6|23|28|33|35|40|56|58|72|74|75|88|89|90|93|98|114|142|148|177|183|184|185|186||8|23|30|33|34|40|56|58|72|74|75|87|88|89|93|114|115|142|148|177|183|184|185|186||5|8|23|33|34|40|56|58|72|74|87|88|89|93|98|114|118|142|148|177|183|184|185|186||2|3|18|23|29|34|40|56|58|72|74|75|88|89|93|98|115|141|148|177|183|184|185|186||5|6|20|23|26|33|34|40|56|72|74|75|89|93|98|114|142|147|148|177|183|184|185|186||5|6|23|29|33|34|35|39|40|56|58|72|74|89|90|93|98|114|142|148|177|183|184|185||8|23|30|33|34|35|39|40|56|58|72|74|75|88|89|93|98|115|148|177|183|184|185|186||2|5|23|30|33|34|40|56|72|74|75|85|88|89|92|98|111|142|148|177|183|184|185|186
indian_pines,23,zhang_mean_fc_nosig14_nol2,0.0,0.809,0.793,0.782,5|6|23|26|33|34|35|40|56|58|72|74|88|89|93|98|114|142|148|177|183|184|185||5|23|30|33|34|35|40|56|58|72|74|75|88|93|100|114|132|148|177|183|184|185|186||6|23|28|33|35|40|56|58|72|74|75|88|89|90|93|98|114|142|148|177|183|184|186||8|23|30|34|40|56|58|72|74|75|87|88|89|93|114|115|142|148|177|183|184|185|186||5|8|23|33|34|40|56|58|72|74|88|89|93|98|114|118|142|148|177|183|184|185|186||2|3|18|23|29|34|40|56|58|72|74|75|88|89|93|98|115|141|148|177|183|184|185||5|6|20|23|26|33|34|40|56|72|74|75|89|93|98|114|142|147|148|177|183|184|185||5|6|23|29|33|34|35|39|40|56|58|72|74|89|93|98|114|142|148|177|183|184|185||8|23|30|33|34|35|40|56|58|72|74|75|88|89|93|98|115|148|177|183|184|185|186||2|5|23|30|33|34|40|56|72|74|75|85|88|89|98|111|142|148|177|183|184|185|186
indian_pines,22,zhang_mean_fc_nosig14_nol2,0.0,0.813,0.796,0.787,5|6|23|33|34|35|40|56|58|72|74|88|89|93|98|114|142|148|177|183|184|185||5|23|30|33|34|35|40|56|58|72|74|75|88|93|100|114|132|148|177|183|184|185||6|23|28|33|35|40|56|58|72|74|75|88|89|93|98|114|142|148|177|183|184|186||8|23|30|34|40|56|58|72|74|75|88|89|93|114|115|142|148|177|183|184|185|186||5|8|23|33|34|40|56|58|72|74|88|89|93|98|114|118|142|148|177|183|184|185||2|3|18|23|29|34|40|56|58|72|74|75|89|93|98|115|141|148|177|183|184|185||5|6|20|23|26|33|34|40|56|72|74|75|89|93|98|114|147|148|177|183|184|185||5|6|23|29|33|34|35|40|56|58|72|74|89|93|98|114|142|148|177|183|184|185||8|23|30|33|34|35|40|56|58|72|74|75|89|93|98|115|148|177|183|184|185|186||5|23|30|33|34|40|56|72|74|75|85|88|89|98|111|142|148|177|183|184|185|186
indian_pines,21,zhang_mean_fc_nosig14_nol2,0.0,0.814,0.797,0.787,5|6|23|33|34|35|40|56|58|72|74|89|93|98|114|142|148|177|183|184|185||5|23|30|33|34|35|40|56|58|72|74|75|88|93|100|114|132|148|177|183|184||6|23|28|33|35|40|56|58|72|74|75|88|89|98|114|142|148|177|183|184|186||8|23|30|34|40|56|58|72|74|75|89|93|114|115|142|148|177|183|184|185|186||5|8|23|33|34|40|56|58|72|74|88|89|93|98|114|118|148|177|183|184|185||2|18|23|29|34|40|56|58|72|74|75|89|93|98|115|141|148|177|183|184|185||5|6|23|26|33|34|40|56|72|74|75|89|93|98|114|147|148|177|183|184|185||5|6|23|29|33|34|35|40|56|58|72|74|89|98|114|142|148|177|183|184|185||8|23|30|33|34|35|40|56|58|72|74|75|93|98|115|148|177|183|184|185|186||5|23|30|33|34|40|56|72|74|75|88|89|98|111|142|148|177|183|184|185|186
