dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,30,zhang_mean_fc_nosig14_nol2,226.77,0.818,0.778,0.792,3|5|6|18|23|26|33|34|35|40|56|58|60|72|74|75|87|88|89|92|93|98|114|142|148|177|183|184|185|195,0
indian_pines,29,zhang_mean_fc_nosig14_nol2,0.0,0.81,0.788,0.783,3|5|6|18|23|26|33|34|35|40|56|58|60|72|74|75|88|89|92|93|98|114|142|148|177|183|184|185|195,0
indian_pines,28,zhang_mean_fc_nosig14_nol2,0.0,0.816,0.815,0.79,3|5|6|18|23|26|33|34|35|40|56|58|72|74|75|88|89|92|93|98|114|142|148|177|183|184|185|195,0
indian_pines,27,zhang_mean_fc_nosig14_nol2,0.0,0.823,0.826,0.798,3|5|6|18|23|26|33|34|35|40|56|58|72|74|75|88|89|92|93|98|114|142|148|177|183|184|185,0
indian_pines,26,zhang_mean_fc_nosig14_nol2,0.0,0.819,0.818,0.794,3|5|6|18|23|26|33|34|35|40|56|58|72|74|75|88|89|93|98|114|142|148|177|183|184|185,0
indian_pines,25,zhang_mean_fc_nosig14_nol2,0.0,0.827,0.831,0.803,5|6|18|23|26|33|34|35|40|56|58|72|74|75|88|89|93|98|114|142|148|177|183|184|185,0
indian_pines,24,zhang_mean_fc_nosig14_nol2,0.0,0.822,0.809,0.797,5|6|18|23|26|33|34|35|40|56|58|72|74|88|89|93|98|114|142|148|177|183|184|185,0
indian_pines,23,zhang_mean_fc_nosig14_nol2,0.0,0.822,0.81,0.797,5|6|23|26|33|34|35|40|56|58|72|74|88|89|93|98|114|142|148|177|183|184|185,0
indian_pines,22,zhang_mean_fc_nosig14_nol2,0.0,0.828,0.796,0.804,5|6|23|33|34|35|40|56|58|72|74|88|89|93|98|114|142|148|177|183|184|185,0
indian_pines,21,zhang_mean_fc_nosig14_nol2,0.0,0.826,0.797,0.802,5|6|23|33|34|35|40|56|58|72|74|89|93|98|114|142|148|177|183|184|185,0
indian_pines,20,zhang_mean_fc_nosig14_nol2,0.0,0.831,0.798,0.807,5|6|23|33|34|35|40|56|58|72|74|89|93|98|114|148|177|183|184|185,0
indian_pines,19,zhang_mean_fc_nosig14_nol2,0.0,0.828,0.797,0.803,5|6|23|33|34|35|40|56|58|72|74|89|93|98|114|148|177|183|184,0
indian_pines,18,zhang_mean_fc_nosig14_nol2,0.0,0.811,0.805,0.785,5|6|23|34|35|40|56|58|72|74|89|93|98|114|148|177|183|184,0
indian_pines,17,zhang_mean_fc_nosig14_nol2,0.0,0.819,0.819,0.794,5|6|23|34|35|40|56|58|72|74|93|98|114|148|177|183|184,0
indian_pines,16,zhang_mean_fc_nosig14_nol2,0.0,0.836,0.825,0.813,6|23|34|35|40|56|58|72|74|93|98|114|148|177|183|184,0
indian_pines,15,zhang_mean_fc_nosig14_nol2,0.0,0.836,0.845,0.812,6|23|34|35|40|58|72|74|93|98|114|148|177|183|184,0
indian_pines,14,zhang_mean_fc_nosig14_nol2,0.0,0.816,0.799,0.79,6|23|34|35|40|58|72|74|93|98|114|148|177|183,0
indian_pines,13,zhang_mean_fc_nosig14_nol2,0.0,0.831,0.842,0.807,6|23|34|35|40|58|72|74|98|114|148|177|183,0
indian_pines,12,zhang_mean_fc_nosig14_nol2,0.0,0.826,0.833,0.802,6|23|34|35|40|58|74|98|114|148|177|183,0
indian_pines,11,zhang_mean_fc_nosig14_nol2,0.0,0.839,0.86,0.817,6|23|34|35|40|58|98|114|148|177|183,0
indian_pines,10,zhang_mean_fc_nosig14_nol2,0.0,0.836,0.842,0.813,6|23|34|35|40|58|98|114|148|177,0
indian_pines,9,zhang_mean_fc_nosig14_nol2,0.0,0.819,0.821,0.794,23|34|35|40|58|98|114|148|177,0
indian_pines,8,zhang_mean_fc_nosig14_nol2,0.0,0.814,0.826,0.787,23|34|40|58|98|114|148|177,0
indian_pines,7,zhang_mean_fc_nosig14_nol2,0.0,0.808,0.817,0.781,23|34|40|98|114|148|177,0
indian_pines,6,zhang_mean_fc_nosig14_nol2,0.0,0.781,0.743,0.749,23|34|40|98|114|148,0
indian_pines,5,zhang_mean_fc_nosig14_nol2,0.0,0.756,0.775,0.72,23|40|98|114|148,0
indian_pines,30,zhang_mean_fc_nosig14_nol2_lr01,213.767,0.832,0.818,0.809,6|7|21|22|24|27|32|34|39|40|41|58|60|74|76|93|100|122|127|131|141|147|148|149|159|161|179|183|185|192,0
indian_pines,29,zhang_mean_fc_nosig14_nol2_lr01,0.0,0.826,0.813,0.801,6|7|21|24|27|32|34|39|40|41|58|60|74|76|93|100|122|127|131|141|147|148|149|159|161|179|183|185|192,0
indian_pines,28,zhang_mean_fc_nosig14_nol2_lr01,0.0,0.831,0.822,0.807,6|7|21|24|27|32|34|39|40|41|58|60|74|76|93|100|122|127|131|147|148|149|159|161|179|183|185|192,0
indian_pines,27,zhang_mean_fc_nosig14_nol2_lr01,0.0,0.845,0.829,0.823,6|7|21|24|27|34|39|40|41|58|60|74|76|93|100|122|127|131|147|148|149|159|161|179|183|185|192,0
indian_pines,26,zhang_mean_fc_nosig14_nol2_lr01,0.0,0.843,0.832,0.82,6|7|21|24|27|34|39|40|41|58|60|74|76|100|122|127|131|147|148|149|159|161|179|183|185|192,0
