dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,5,zhang_mean_fc_nosig5,250.97,0.711,0.692,0.668,27|34|35|40|74
indian_pines,6,zhang_mean_fc_nosig5,0.0,0.721,0.708,0.68,23|27|34|35|40|74
indian_pines,7,zhang_mean_fc_nosig5,0.0,0.745,0.726,0.707,23|27|34|35|40|59|74
indian_pines,8,zhang_mean_fc_nosig5,0.0,0.744,0.723,0.706,23|27|29|34|35|40|59|74
indian_pines,9,zhang_mean_fc_nosig5,0.0,0.756,0.727,0.72,8|23|27|29|34|35|40|59|74
indian_pines,10,zhang_mean_fc_nosig5,0.0,0.755,0.733,0.719,6|8|23|27|29|34|35|40|59|74
indian_pines,11,zhang_mean_fc_nosig5,0.0,0.748,0.739,0.711,6|8|23|27|29|33|34|35|40|59|74
indian_pines,12,zhang_mean_fc_nosig5,0.0,0.746,0.736,0.708,6|7|8|23|27|29|33|34|35|40|59|74
indian_pines,13,zhang_mean_fc_nosig5,0.0,0.744,0.735,0.707,6|7|8|23|27|29|33|34|35|40|43|59|74
indian_pines,14,zhang_mean_fc_nosig5,0.0,0.783,0.765,0.753,6|7|8|23|27|29|33|34|35|40|43|59|74|129
indian_pines,15,zhang_mean_fc_nosig5,0.0,0.787,0.768,0.756,6|7|8|23|27|29|33|34|35|40|43|59|74|125|129
indian_pines,16,zhang_mean_fc_nosig5,0.0,0.831,0.806,0.807,6|7|8|23|27|29|33|34|35|40|43|59|74|125|129|183
indian_pines,17,zhang_mean_fc_nosig5,0.0,0.834,0.806,0.81,6|7|8|23|27|29|33|34|35|40|43|59|74|125|129|181|183
indian_pines,18,zhang_mean_fc_nosig5,0.0,0.825,0.793,0.8,6|7|8|23|27|29|33|34|35|40|43|59|74|89|125|129|181|183
indian_pines,19,zhang_mean_fc_nosig5,0.0,0.825,0.799,0.8,6|7|8|23|27|29|33|34|35|40|43|59|74|89|125|129|161|181|183
indian_pines,20,zhang_mean_fc_nosig5,0.0,0.828,0.821,0.804,6|7|8|23|27|29|33|34|35|40|43|59|74|89|125|129|159|161|181|183
indian_pines,21,zhang_mean_fc_nosig5,0.0,0.822,0.797,0.797,6|7|8|23|27|29|33|34|35|40|43|59|74|89|124|125|129|159|161|181|183
indian_pines,22,zhang_mean_fc_nosig5,0.0,0.83,0.822,0.807,6|7|8|23|27|29|33|34|35|40|43|59|74|89|124|125|128|129|159|161|181|183
indian_pines,23,zhang_mean_fc_nosig5,0.0,0.834,0.803,0.81,4|6|7|8|23|27|29|33|34|35|40|43|59|74|89|124|125|128|129|159|161|181|183
indian_pines,24,zhang_mean_fc_nosig5,0.0,0.836,0.827,0.813,4|6|7|8|23|27|29|33|34|35|40|43|59|73|74|89|124|125|128|129|159|161|181|183
indian_pines,25,zhang_mean_fc_nosig5,0.0,0.839,0.813,0.817,4|6|7|8|23|27|28|29|33|34|35|40|43|59|73|74|89|124|125|128|129|159|161|181|183
indian_pines,26,zhang_mean_fc_nosig5,0.0,0.828,0.803,0.804,3|4|6|7|8|23|27|28|29|33|34|35|40|43|59|73|74|89|124|125|128|129|159|161|181|183
indian_pines,27,zhang_mean_fc_nosig5,0.0,0.821,0.793,0.796,3|4|6|7|8|23|27|28|29|33|34|35|40|43|59|60|73|74|89|124|125|128|129|159|161|181|183
indian_pines,28,zhang_mean_fc_nosig5,0.0,0.822,0.796,0.798,3|4|6|7|8|23|27|28|29|33|34|35|40|43|59|60|63|73|74|89|124|125|128|129|159|161|181|183
indian_pines,29,zhang_mean_fc_nosig5,0.0,0.816,0.796,0.79,3|4|6|7|8|23|24|27|28|29|33|34|35|40|43|59|60|63|73|74|89|124|125|128|129|159|161|181|183
indian_pines,30,zhang_mean_fc_nosig5,0.0,0.825,0.804,0.801,3|4|6|7|8|23|24|27|28|29|33|34|35|40|43|59|60|63|73|74|89|124|125|128|129|141|159|161|181|183
