dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,5,zhang,275.68,0.664,0.606,0.612,3|8|16|40|169
indian_pines,10,zhang,0.0,0.781,0.785,0.749,3|8|16|29|30|40|63|159|169|189
indian_pines,15,zhang,0.0,0.802,0.823,0.774,3|8|13|16|29|30|40|63|113|151|157|159|169|189|191
indian_pines,20,zhang,0.0,0.808,0.805,0.781,3|8|13|16|19|29|30|40|63|113|134|139|151|157|159|165|169|183|189|191
indian_pines,25,zhang,0.0,0.826,0.823,0.801,3|8|13|16|18|19|29|30|40|63|113|117|122|126|134|139|151|157|159|165|169|179|183|189|191
indian_pines,30,zhang,0.0,0.819,0.852,0.794,3|8|13|16|18|19|26|29|30|40|46|63|113|117|122|126|134|139|151|154|157|159|164|165|169|179|183|189|191|197
