fold,dataset,oa,aa,k
0,indian_pines,0.85,0.761,0.828
1,indian_pines,0.824,0.75,0.799
2,indian_pines,0.813,0.731,0.786
3,indian_pines,0.819,0.769,0.792
4,indian_pines,0.833,0.808,0.809
5,indian_pines,0.833,0.725,0.809
6,indian_pines,0.845,0.814,0.822
7,indian_pines,0.802,0.67,0.774
8,indian_pines,0.817,0.69,0.791
9,indian_pines,0.821,0.791,0.794
0,indian_pines,0.85,0.761,0.828
1,indian_pines,0.824,0.75,0.799
2,indian_pines,0.813,0.731,0.786
3,indian_pines,0.819,0.769,0.792
4,indian_pines,0.833,0.808,0.809
5,indian_pines,0.833,0.725,0.809
6,indian_pines,0.845,0.814,0.822
7,indian_pines,0.802,0.67,0.774
8,indian_pines,0.817,0.69,0.791
9,indian_pines,0.821,0.791,0.794
