dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,5,zhang_mean_fc_nosig,194.956,0.734,0.678,0.695,7|24|36|40|128,0
indian_pines,10,zhang_mean_fc_nosig,0.0,0.832,0.819,0.808,7|19|22|24|36|40|74|128|129|159,0
indian_pines,15,zhang_mean_fc_nosig,0.0,0.815,0.81,0.788,7|19|22|24|36|40|42|56|74|89|128|129|159|174|183,0
indian_pines,20,zhang_mean_fc_nosig,0.0,0.804,0.813,0.776,7|19|22|24|36|40|42|56|73|74|77|78|84|89|128|129|158|159|174|183,0
indian_pines,25,zhang_mean_fc_nosig,0.0,0.827,0.826,0.802,7|19|22|24|36|40|42|56|65|73|74|77|78|79|84|89|95|128|129|139|158|159|162|174|183,0
indian_pines,30,zhang_mean_fc_nosig,0.0,0.814,0.806,0.788,7|19|22|24|36|40|42|56|65|73|74|75|77|78|79|84|85|89|95|128|129|139|158|159|162|174|183|186|192|195,0
