fold,dataset,oa,aa,k
0,indian_pines,0.8498049414824448,0.7612838251042652,0.8279493763081355
1,indian_pines,0.8244473342002601,0.7504794408608519,0.7987651431337801
2,indian_pines,0.8133940182054616,0.7306138879369484,0.7859600632316003
3,indian_pines,0.8185955786736021,0.7689885476328268,0.7921737382641187
4,indian_pines,0.8328998699609883,0.8077792048487832,0.8089970929108776
5,indian_pines,0.8328998699609883,0.7254050740672555,0.809050149299589
6,indian_pines,0.8446033810143043,0.8138432965149761,0.8220177187229001
7,indian_pines,0.8023407022106632,0.6697532371309096,0.7736152361547826
8,indian_pines,0.8166449934980494,0.690017064187332,0.790564195476508
9,indian_pines,0.8205461638491548,0.7907297653213898,0.794444568195487
