fold,dataset,oa,aa,k
0,indian_pines,0.9024390243902439,0.9027164360007018,0.8884783441264535
1,indian_pines,0.8926829268292683,0.8672581017403601,0.8774560417703716
2,indian_pines,0.8917073170731707,0.9127284114745005,0.8764936908928277
3,indian_pines,0.8946341463414634,0.8369717167198605,0.8793595923291445
4,indian_pines,0.8839024390243903,0.8827534182598875,0.8672963043149509
5,indian_pines,0.8926829268292683,0.8663132513161274,0.8773980772973861
6,indian_pines,0.8741463414634146,0.8534778433665668,0.8562984167557839
7,indian_pines,0.8926829268292683,0.866222487124996,0.8770847891472682
8,indian_pines,0.8907317073170732,0.8763171365734104,0.8753734454248593
9,indian_pines,0.9004878048780488,0.812939715656257,0.8862299623813468
