dataset,target_size,algorithm,time,oa,aa,k,selected_features
indian_pines,30,ig_ls,217.57,0.836,0.818,0.813,9|33|34|36|40|41|46|56|74|77|78|79|80|96|97|110|113|126|131|134|138|139|140|147|148|149|158|161|178|182||9|17|19|28|33|34|36|40|41|59|74|77|78|79|80|88|96|97|110|113|126|129|147|148|149|158|160|161|178|180||9|17|28|33|34|36|38|40|74|77|78|79|80|97|110|113|126|131|134|138|139|140|147|148|149|160|161|176|178|179||7|9|17|28|33|34|36|38|39|40|41|59|74|77|78|79|80|97|110|123|126|129|131|134|139|140|147|148|149|161||9|17|19|29|33|34|36|40|41|74|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|158|161|176|178|180||9|33|34|36|38|40|41|56|73|74|78|80|88|97|110|126|131|138|139|140|146|147|148|149|158|161|175|176|178|187||9|19|28|33|34|36|40|41|73|74|77|78|79|80|96|97|110|123|126|131|139|146|147|148|149|158|160|161|178|182||9|29|33|34|36|40|41|74|77|78|80|97|110|123|126|129|131|139|140|146|147|148|149|158|160|161|175|176|178|196||7|9|19|33|34|36|38|40|41|53|54|78|80|93|96|97|123|126|129|131|139|147|148|149|158|160|161|176|178|196||7|9|19|33|34|36|40|41|59|77|78|79|80|96|97|110|126|131|138|140|146|147|148|149|160|161|176|178|180|192
indian_pines,29,ig_ls,0.0,0.837,0.82,0.813,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|113|126|131|134|138|139|140|147|148|149|158|161|178|182||9|17|19|28|33|34|36|40|41|59|74|77|78|79|80|96|97|110|113|126|129|147|148|149|158|160|161|178|180||9|17|28|33|34|36|38|74|77|78|79|80|97|110|113|126|131|134|138|139|140|147|148|149|160|161|176|178|179||7|9|17|28|33|34|36|38|39|40|41|59|74|78|79|80|97|110|123|126|129|131|134|139|140|147|148|149|161||9|17|19|29|33|34|36|40|41|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|158|161|176|178|180||9|33|34|36|38|40|41|56|73|74|78|80|88|97|110|126|131|138|139|140|146|147|148|149|158|161|175|176|178||9|19|28|33|34|36|40|41|73|74|77|78|79|80|97|110|123|126|131|139|146|147|148|149|158|160|161|178|182||9|29|33|34|36|40|41|74|77|78|80|97|110|123|126|129|131|139|140|146|147|148|149|158|160|161|176|178|196||7|9|19|33|34|36|38|40|53|54|78|80|93|96|97|123|126|129|131|139|147|148|149|158|160|161|176|178|196||7|9|19|33|34|36|40|41|59|77|78|79|80|96|97|110|126|131|140|146|147|148|149|160|161|176|178|180|192
indian_pines,28,ig_ls,0.0,0.839,0.824,0.816,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|126|131|134|138|139|140|147|148|149|158|161|178|182||9|17|19|28|33|34|36|40|41|59|74|77|78|79|80|96|97|110|113|126|129|147|148|149|158|160|161|178||9|17|28|33|34|36|38|74|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|160|161|176|178|179||7|9|17|28|33|34|36|38|40|41|59|74|78|79|80|97|110|123|126|129|131|134|139|140|147|148|149|161||9|17|19|29|33|34|36|40|41|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|158|161|178|180||9|33|34|36|38|40|41|56|73|74|78|80|88|97|110|126|131|138|139|140|147|148|149|158|161|175|176|178||9|19|28|33|34|36|40|41|73|74|77|78|79|80|97|110|123|126|131|139|146|147|148|149|160|161|178|182||9|29|33|34|36|40|41|74|77|78|80|97|110|123|126|129|131|139|146|147|148|149|158|160|161|176|178|196||7|9|19|33|34|36|38|40|53|54|78|80|93|96|97|123|126|129|131|139|147|148|149|158|160|161|176|178||7|9|19|33|34|36|40|41|77|78|79|80|96|97|110|126|131|140|146|147|148|149|160|161|176|178|180|192
indian_pines,27,ig_ls,0.0,0.837,0.83,0.814,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|126|131|134|139|140|147|148|149|158|161|178|182||9|17|19|28|33|34|36|40|41|59|74|77|78|79|80|96|97|110|113|126|129|147|148|149|158|161|178||9|17|28|33|34|36|38|74|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|160|161|178|179||7|9|17|28|33|34|36|38|40|41|59|74|78|79|80|97|110|123|126|129|131|139|140|147|148|149|161||9|17|29|33|34|36|40|41|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|158|161|178|180||9|33|34|36|38|40|41|56|73|78|80|88|97|110|126|131|138|139|140|147|148|149|158|161|175|176|178||9|28|33|34|36|40|41|73|74|77|78|79|80|97|110|123|126|131|139|146|147|148|149|160|161|178|182||9|29|33|34|36|40|41|74|77|78|80|97|110|126|129|131|139|146|147|148|149|158|160|161|176|178|196||7|9|19|33|34|36|38|53|54|78|80|93|96|97|123|126|129|131|139|147|148|149|158|160|161|176|178||7|9|19|33|34|36|40|41|77|78|79|80|96|97|110|126|131|140|146|147|148|149|160|161|176|178|180
indian_pines,26,ig_ls,0.0,0.838,0.83,0.815,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|126|131|139|140|147|148|149|158|161|178|182||9|17|19|28|33|34|36|40|41|59|77|78|79|80|96|97|110|113|126|129|147|148|149|158|161|178||9|17|28|33|34|36|38|74|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|160|161|179||7|9|17|28|33|34|36|38|40|41|59|74|78|79|80|97|110|123|126|129|131|139|147|148|149|161||9|17|29|33|34|36|40|41|77|78|79|80|97|110|126|131|134|139|140|147|148|149|158|161|178|180||9|33|34|36|38|40|41|56|73|78|80|88|97|110|126|131|138|139|147|148|149|158|161|175|176|178||9|28|33|34|36|40|41|73|77|78|79|80|97|110|123|126|131|139|146|147|148|149|160|161|178|182||9|29|33|34|36|40|41|74|77|78|80|97|110|126|129|139|146|147|148|149|158|160|161|176|178|196||7|9|19|33|34|36|38|53|78|80|93|96|97|123|126|129|131|139|147|148|149|158|160|161|176|178||7|9|19|33|34|36|40|41|77|78|79|80|96|97|110|126|131|140|146|147|148|149|160|161|178|180
indian_pines,25,ig_ls,0.0,0.836,0.83,0.813,9|33|34|36|40|41|56|74|77|78|79|80|96|97|110|126|131|140|147|148|149|158|161|178|182||9|17|19|28|33|34|36|40|41|59|77|78|79|80|96|97|110|113|126|147|148|149|158|161|178||9|17|28|33|34|36|38|74|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|160|161||7|9|17|28|33|34|36|38|40|41|59|74|78|79|80|97|110|123|126|129|131|147|148|149|161||9|17|29|33|34|36|40|41|77|78|79|80|97|110|126|131|139|140|147|148|149|158|161|178|180||9|33|34|36|38|40|41|56|73|78|80|88|97|110|126|131|139|147|148|149|158|161|175|176|178||9|28|33|34|36|40|41|77|78|79|80|97|110|123|126|131|139|146|147|148|149|160|161|178|182||9|29|33|34|36|40|41|74|77|78|80|97|110|126|129|139|146|147|148|149|158|160|161|178|196||7|9|19|33|34|36|38|53|78|80|93|96|97|123|126|129|139|147|148|149|158|160|161|176|178||7|9|19|33|34|36|40|41|77|78|79|80|96|97|110|126|131|140|146|147|148|149|160|161|178
indian_pines,24,ig_ls,0.0,0.83,0.817,0.806,9|33|34|36|40|41|74|77|78|79|80|96|97|110|126|131|140|147|148|149|158|161|178|182||9|17|28|33|34|36|40|41|59|77|78|79|80|96|97|110|113|126|147|148|149|158|161|178||9|17|28|33|34|36|74|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|160|161||7|9|17|33|34|36|38|40|41|59|74|78|79|80|97|110|123|126|129|131|147|148|149|161||9|17|29|33|34|36|40|41|77|78|79|80|97|110|126|131|139|147|148|149|158|161|178|180||9|33|34|36|38|40|41|56|78|80|88|97|110|126|131|139|147|148|149|158|161|175|176|178||9|28|33|34|36|40|41|78|79|80|97|110|123|126|131|139|146|147|148|149|160|161|178|182||9|33|34|36|40|41|74|77|78|80|97|110|126|129|139|146|147|148|149|158|160|161|178|196||7|9|19|33|34|36|38|53|78|80|93|96|97|123|126|129|139|147|148|149|158|161|176|178||7|9|33|34|36|40|41|77|78|79|80|96|97|110|126|131|140|146|147|148|149|160|161|178
indian_pines,23,ig_ls,0.0,0.827,0.818,0.803,9|33|34|36|40|41|74|77|78|79|80|96|97|110|126|140|147|148|149|158|161|178|182||9|28|33|34|36|40|41|59|77|78|79|80|96|97|110|113|126|147|148|149|158|161|178||9|17|28|33|34|36|77|78|79|80|97|110|126|131|134|138|139|140|147|148|149|160|161||7|9|17|33|34|36|38|40|41|59|74|78|79|80|97|110|123|126|129|131|147|148|149||9|29|33|34|36|40|41|77|78|79|80|97|110|126|131|139|147|148|149|158|161|178|180||9|33|34|36|38|40|56|78|80|88|97|110|126|131|139|147|148|149|158|161|175|176|178||9|28|33|34|36|40|41|78|79|80|97|110|123|126|131|139|146|147|148|149|160|161|182||9|33|34|36|40|41|77|78|80|97|110|126|129|139|146|147|148|149|158|160|161|178|196||7|9|19|33|34|36|38|53|78|80|93|96|97|123|126|129|139|147|148|149|158|161|178||7|9|33|34|36|40|41|77|78|79|80|96|97|110|126|131|140|146|147|148|149|160|161
indian_pines,22,ig_ls,0.0,0.825,0.816,0.8,9|33|34|36|40|41|74|77|78|79|80|96|97|110|126|140|147|148|149|161|178|182||9|28|33|34|36|40|41|59|77|78|79|80|97|110|113|126|147|148|149|158|161|178||9|17|28|33|34|36|77|78|79|80|97|110|126|131|134|138|139|147|148|149|160|161||7|9|17|33|34|36|38|40|41|59|74|78|79|80|97|110|123|126|131|147|148|149||9|29|33|34|36|40|41|77|78|79|80|97|110|126|131|139|147|148|149|158|161|180||9|33|34|36|38|40|78|80|88|97|110|126|131|139|147|148|149|158|161|175|176|178||9|28|33|34|36|40|41|78|79|80|97|110|126|131|139|146|147|148|149|160|161|182||9|33|34|36|40|41|77|78|80|97|110|126|129|139|147|148|149|158|160|161|178|196||7|9|19|33|34|36|38|78|80|93|96|97|123|126|129|139|147|148|149|158|161|178||7|9|33|34|36|40|41|77|78|79|80|96|97|110|126|140|146|147|148|149|160|161
indian_pines,21,ig_ls,0.0,0.823,0.817,0.798,9|33|34|36|40|41|74|77|78|79|80|96|97|110|126|147|148|149|161|178|182||9|28|33|34|36|40|41|77|78|79|80|97|110|113|126|147|148|149|158|161|178||9|17|28|33|34|36|77|78|79|80|97|110|126|131|138|139|147|148|149|160|161||7|9|17|33|34|36|38|40|41|59|74|78|79|80|97|110|126|131|147|148|149||9|29|33|34|36|40|41|77|78|79|80|97|110|126|131|139|147|148|149|158|161||9|33|34|36|38|78|80|88|97|110|126|131|139|147|148|149|158|161|175|176|178||9|28|33|34|36|40|41|78|79|80|97|110|126|139|146|147|148|149|160|161|182||9|33|34|36|40|41|78|80|97|110|126|129|139|147|148|149|158|160|161|178|196||7|9|19|33|34|36|38|78|80|93|96|97|123|126|129|139|147|148|149|161|178||7|9|33|34|36|40|41|77|78|79|80|97|110|126|140|146|147|148|149|160|161
