epoch,mse_loss,l1_loss,lambda_value,l2_loss,alpha,loss,t_oa,t_aa,t_k,v_oa,v_aa,v_k,oa,aa,k,min_cw,max_cw,avg_cw,min_s,max_s,avg_s,l0_cw,l0_s,selected_bands,selected_weights,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10,weight_11,weight_12,weight_13,weight_14,weight_15,weight_16,weight_17,weight_18,weight_19,weight_20,weight_21,weight_22,weight_23,weight_24,weight_25,weight_26,weight_27,weight_28,weight_29,weight_30,weight_31,weight_32,weight_33,weight_34,weight_35,weight_36,weight_37,weight_38,weight_39,weight_40,weight_41,weight_42,weight_43,weight_44,weight_45,weight_46,weight_47,weight_48,weight_49,weight_50,weight_51,weight_52,weight_53,weight_54,weight_55,weight_56,weight_57,weight_58,weight_59,weight_60,weight_61,weight_62,weight_63,weight_64,weight_65,weight_66,weight_67,weight_68,weight_69,weight_70,weight_71,weight_72,weight_73,weight_74,weight_75,weight_76,weight_77,weight_78,weight_79,weight_80,weight_81,weight_82,weight_83,weight_84,weight_85,weight_86,weight_87,weight_88,weight_89,weight_90,weight_91,weight_92,weight_93,weight_94,weight_95,weight_96,weight_97,weight_98,weight_99,weight_100,weight_101,weight_102,weight_103,weight_104,weight_105,weight_106,weight_107,weight_108,weight_109,weight_110,weight_111,weight_112,weight_113,weight_114,weight_115,weight_116,weight_117,weight_118,weight_119,weight_120,weight_121,weight_122,weight_123,weight_124,weight_125,weight_126,weight_127,weight_128,weight_129,weight_130,weight_131,weight_132,weight_133,weight_134,weight_135,weight_136,weight_137,weight_138,weight_139,weight_140,weight_141,weight_142,weight_143,weight_144,weight_145,weight_146,weight_147,weight_148,weight_149,weight_150,weight_151,weight_152,weight_153,weight_154,weight_155,weight_156,weight_157,weight_158,weight_159,weight_160,weight_161,weight_162,weight_163,weight_164,weight_165,weight_166,weight_167,weight_168,weight_169,weight_170,weight_171,weight_172,weight_173,weight_174,weight_175,weight_176,weight_177,weight_178,weight_179,weight_180,weight_181,weight_182,weight_183,weight_184,weight_185,weight_186,weight_187,weight_188,weight_189,weight_190,weight_191,weight_192,weight_193,weight_194,weight_195,weight_196,weight_197,weight_198,weight_199
0,2.774,11.5105581,0.001,0,0,2.786,0.019,0.025,0,0.015,0.02,0,0.66,0.591,0.606,0,0.406,0,0,0.406,0,200,188,82|102|182|14|96,0.406|0.393|0.361|0.34|0.313,0.185,0.183,0.061,0.068,0.191,0.07,0.101,0.128,0.086,0.02,0.057,0.056,0.09,0.176,0.34,0.051,0.132,0.024,0.095,0.068,0.025,0.114,0.095,0.0,0.245,0.243,0.157,0.09,0.0,0.054,0.048,0.204,0.04,0.021,0.044,0.077,0.084,0.0,0.149,0.015,0.113,0.066,0.041,0.146,0.084,0.132,0.042,0.254,0.138,0.096,0.0,0.041,0.192,0.0,0.096,0.126,0.245,0.151,0.204,0.071,0.135,0.115,0.065,0.043,0.075,0.207,0.078,0.0,0.068,0.116,0.0,0.031,0.026,0.178,0.121,0.068,0.121,0.032,0.024,0.126,0.144,0.075,0.406,0.191,0.0,0.14,0.048,0.043,0.157,0.059,0.14,0.056,0.015,0.13,0.149,0.079,0.313,0.199,0.051,0.134,0.015,0.029,0.393,0.019,0.174,0.017,0.165,0.057,0.11,0.068,0.21,0.0,0.171,0.192,0.227,0.101,0.109,0.264,0.057,0.178,0.022,0.036,0.212,0.235,0.161,0.191,0.131,0.14,0.229,0.163,0.146,0.012,0.042,0.042,0.088,0.195,0.112,0.085,0.045,0.0,0.171,0.155,0.255,0.094,0.055,0.088,0.102,0.065,0.05,0.071,0.104,0.181,0.256,0.101,0.248,0.059,0.0,0.18,0.233,0.168,0.214,0.065,0.105,0.151,0.04,0.154,0.216,0.085,0.013,0.106,0.091,0.139,0.031,0.0,0.074,0.267,0.125,0.088,0.02,0.176,0.195,0.187,0.361,0.069,0.168,0.115,0.014,0.218,0.094,0.161,0.167,0.057,0.108,0.077,0.072,0.077,0.071,0.025,0.039,0.013
10,2.252,12.2383184,0.001,0,0,2.264,0.239,0.062,0.0,0.24,0.062,0.0,0.634,0.594,0.572,0,2.45,0,0,2.45,0,200,198,82|96|102|54|154,2.45|2.371|2.228|1.901|1.862,1.195,0.154,0.373,0.813,0.094,1.577,0.594,0.92,1.082,0.128,1.378,0.893,0.584,1.798,0.616,0.049,1.784,1.031,0.349,0.432,0.531,0.843,0.549,1.347,0.0,0.45,1.041,1.371,0.581,0.244,0.11,1.452,0.562,1.182,0.338,0.447,1.179,1.521,1.635,1.187,1.058,0.98,1.141,0.494,1.726,0.662,1.231,1.363,1.406,0.299,0.478,0.497,0.369,0.735,1.901,1.043,1.405,0.941,1.215,0.127,0.83,0.241,1.119,0.693,0.025,0.16,0.601,0.656,0.914,0.73,1.159,0.679,0.078,1.099,0.72,0.106,0.976,1.345,0.0,0.724,0.307,0.959,2.45,1.683,0.139,0.589,1.416,0.23,0.013,0.463,1.425,0.821,1.276,0.974,0.569,1.166,2.371,0.716,0.155,1.813,0.625,1.388,2.228,1.4,1.015,0.367,0.576,1.379,0.697,1.156,0.886,0.485,1.195,1.618,1.169,1.06,1.123,1.162,1.082,1.841,1.136,1.16,1.803,0.657,1.001,0.03,1.232,0.943,1.091,1.1,1.114,0.78,0.033,1.031,0.792,0.723,1.074,0.886,0.884,0.364,1.202,1.563,1.665,0.876,1.303,0.804,1.072,0.965,0.893,0.783,1.182,1.74,1.409,0.505,1.862,0.712,0.161,0.657,1.197,0.099,0.737,0.903,0.514,0.684,0.106,1.604,1.042,0.428,0.733,1.207,0.139,0.697,0.74,0.736,0.561,1.453,1.069,1.15,0.926,1.674,1.205,0.207,0.557,1.247,0.294,1.732,0.673,1.754,1.075,1.273,0.668,0.061,0.137,0.903,0.217,0.132,1.282,0.921,0.048,0.741
20,1.878,12.3464804,0.001,0,0,1.89,0.362,0.125,0.195,0.362,0.125,0.196,0.717,0.669,0.673,0,3.386,0,0,3.386,0,200,199,96|154|54|70|5,3.386|3.091|2.964|2.929|2.869,0.77,0.207,0.398,0.833,0.099,2.869,0.784,1.702,1.478,1.218,1.565,1.574,0.748,1.853,0.304,0.842,1.952,1.407,0.143,0.148,0.644,0.813,0.759,2.342,0.818,0.111,1.997,2.008,0.273,0.056,1.094,1.362,1.417,1.982,0.514,1.197,1.095,2.344,1.435,2.083,2.14,2.168,2.176,1.826,2.84,1.688,2.669,2.214,2.847,0.255,1.805,1.401,1.574,1.74,2.964,0.684,2.374,0.622,2.648,0.89,2.255,1.484,1.872,0.577,1.003,0.329,1.066,0.532,2.34,1.981,2.929,0.71,1.267,1.139,2.041,1.034,1.721,1.186,0.377,0.704,0.015,0.718,2.557,2.249,1.326,0.175,2.275,0.737,0.0,0.474,1.298,0.388,1.826,1.112,1.68,0.79,3.386,0.603,0.688,1.842,0.1,1.539,2.05,1.413,1.621,0.688,0.573,1.63,0.826,1.682,1.048,0.581,1.828,2.784,1.505,1.75,1.27,1.326,1.327,2.44,1.271,1.142,2.27,0.944,0.738,0.687,1.678,1.278,1.056,1.532,1.24,0.997,0.401,1.461,0.756,0.771,1.248,1.907,0.706,1.176,1.334,2.374,2.364,1.268,1.25,0.194,1.664,1.552,0.857,0.821,2.302,2.181,1.273,0.878,3.091,0.602,0.623,2.068,1.354,0.96,0.255,0.973,0.839,1.059,0.699,2.808,2.06,0.014,1.628,2.363,0.779,1.293,1.37,0.889,1.265,2.189,0.947,2.064,1.444,2.565,1.491,0.995,0.193,1.79,0.915,2.707,1.941,2.335,1.952,1.834,1.312,0.693,0.088,1.537,1.246,0.887,1.681,2.034,0.437,0.326
30,1.608,12.1582689,0.001,0,0,1.62,0.416,0.174,0.278,0.422,0.18,0.286,0.673,0.638,0.623,0,5.821,0,0,5.821,0,200,200,70|54|154|5|48,5.821|5.376|5.294|5.157|5.046,0.041,0.472,1.317,0.186,0.039,5.157,1.849,3.202,2.116,2.883,1.684,2.454,1.901,1.714,2.047,2.961,2.496,2.491,0.182,0.314,1.815,1.294,2.054,4.553,2.525,0.044,4.188,3.889,0.045,0.347,2.459,1.646,3.192,2.83,0.178,2.699,1.53,3.719,1.443,3.951,3.492,4.314,4.271,4.046,3.434,3.494,4.611,3.635,5.046,1.429,3.84,2.899,3.87,3.459,5.376,0.92,3.636,0.371,4.918,2.197,4.639,3.739,3.1,0.799,3.086,0.205,2.727,0.898,4.527,3.762,5.821,0.579,3.617,1.54,4.736,2.452,2.123,1.005,1.864,0.362,0.553,0.68,2.57,2.98,3.596,0.013,2.922,1.203,1.222,1.617,1.34,0.292,2.447,1.996,2.737,0.109,4.129,0.913,1.746,1.733,0.298,1.192,2.619,1.642,2.127,1.846,0.78,2.135,1.249,2.716,2.151,0.091,3.521,4.84,2.55,3.197,1.767,1.441,2.076,3.955,2.253,1.106,3.14,1.504,0.263,2.699,2.787,1.375,1.227,2.804,1.363,1.604,0.506,2.422,0.666,1.281,2.086,3.545,0.416,1.74,1.988,3.509,3.772,1.783,1.346,0.494,2.776,2.916,1.297,1.368,4.63,3.372,1.952,1.326,5.294,0.739,1.276,4.626,2.443,2.384,0.76,1.913,1.103,2.141,2.052,4.914,3.706,0.111,3.317,4.533,2.194,2.818,3.02,2.112,2.843,3.728,1.201,3.844,2.403,4.851,1.959,2.893,0.128,3.081,2.424,4.507,4.534,3.672,3.715,3.257,2.207,2.33,0.234,2.848,2.309,2.716,2.843,4.135,0.914,0.073
40,1.432,12.1190929,0.001,0,0,1.444,0.503,0.256,0.395,0.501,0.257,0.393,0.625,0.535,0.561,0,8.601,0,0,8.601,0,200,200,74|70|60|54|5,8.668|8.601|8.403|8.261|7.88,0.524,1.177,2.747,0.283,0.503,7.88,3.287,4.466,2.74,5.082,2.118,3.254,3.704,1.362,3.662,5.46,3.368,3.699,0.576,0.778,4.001,1.845,3.996,7.114,4.752,0.144,7.099,6.584,0.017,0.607,4.635,1.984,5.015,3.841,0.011,4.719,2.164,4.846,1.621,6.109,4.923,6.943,6.763,6.709,4.105,5.659,6.461,5.277,7.555,2.808,6.199,5.42,6.365,5.571,8.261,1.635,5.145,0.537,7.607,4.373,8.403,6.52,5.076,1.166,5.376,0.07,4.748,1.86,7.193,5.531,8.601,0.16,6.681,2.322,8.668,4.114,2.459,0.999,3.989,0.478,0.134,0.739,3.063,3.89,6.612,0.099,4.037,2.049,3.221,3.32,1.66,1.045,3.364,3.6,3.865,0.091,4.771,0.989,3.096,1.826,0.73,1.217,4.149,1.588,2.505,2.709,1.067,3.222,1.805,3.723,3.436,0.199,5.639,7.238,3.604,4.888,2.556,1.783,2.734,5.789,3.493,1.104,3.98,3.284,0.666,5.202,4.084,0.401,1.666,4.638,1.422,1.83,1.495,3.414,0.739,2.028,3.091,4.661,0.612,2.903,2.608,4.835,5.381,2.815,1.484,0.95,4.366,4.167,1.702,2.008,7.487,4.97,3.016,2.325,7.658,2.153,2.124,7.597,3.406,4.371,1.441,3.408,2.383,3.747,3.9,7.284,5.559,0.808,5.129,7.006,3.867,4.491,5.11,3.978,4.694,5.596,1.85,6.035,3.806,7.673,2.691,5.445,0.158,4.675,4.653,6.545,7.745,5.13,5.837,5.012,4.153,4.843,1.075,4.836,3.377,4.948,4.388,6.257,1.55,0.412
50,1.311,12.2650146,0.001,0,0,1.323,0.514,0.302,0.411,0.511,0.305,0.407,0.625,0.535,0.561,0,13.149,0,0,13.149,0,200,200,74|60|5|54|70,14.17|13.149|11.578|11.49|11.371,3.03,2.307,5.521,0.929,0.418,11.578,5.123,7.349,3.916,8.197,3.5,4.592,6.07,1.286,4.615,8.36,5.114,5.524,2.222,2.295,7.34,2.617,6.249,10.292,7.457,0.331,10.381,10.026,0.033,0.617,7.381,2.103,7.08,5.824,0.088,7.094,3.393,6.219,2.636,8.712,7.208,9.903,9.861,9.267,4.92,8.183,8.394,7.133,10.016,4.432,8.56,7.639,8.771,7.807,11.49,2.611,7.391,0.916,10.578,6.652,13.149,9.791,7.361,2.149,7.669,0.44,6.53,3.266,10.244,7.273,11.371,0.304,9.786,3.609,14.17,6.162,3.524,1.214,5.879,1.219,1.057,0.971,4.221,5.266,10.19,0.722,6.51,3.096,6.743,6.082,3.125,1.372,4.755,6.618,4.781,1.126,5.768,1.513,4.126,2.471,1.676,1.41,5.895,2.025,3.17,3.249,1.202,4.597,2.703,4.98,4.887,0.103,7.979,9.874,4.792,6.844,3.284,3.102,3.639,7.87,4.604,1.529,5.144,5.134,1.554,7.832,5.627,0.409,2.302,6.835,2.13,2.714,2.447,4.631,1.481,3.023,4.603,6.116,0.847,4.842,3.577,6.665,7.143,4.169,1.847,0.887,6.376,5.445,2.63,3.261,10.485,6.897,4.412,3.812,10.124,3.875,3.052,10.744,4.733,6.734,1.56,5.006,4.388,5.636,6.193,9.959,7.601,0.977,7.049,9.442,5.881,6.13,7.265,6.108,6.929,7.867,2.906,8.512,6.129,10.789,3.901,7.698,1.335,6.416,6.544,8.74,11.22,6.895,7.98,6.625,6.545,7.048,2.047,6.882,4.536,7.506,5.937,7.935,2.937,0.776
60,1.222,12.3146133,0.001,0,0,1.234,0.561,0.362,0.476,0.543,0.357,0.453,0.651,0.591,0.596,0,17.318,0,0,17.318,0,200,200,74|60|5|186|54,19.652|17.318|15.738|14.164|13.989,7.374,4.294,8.556,2.053,0.872,15.738,7.065,10.24,5.402,11.992,5.556,6.941,8.583,1.151,5.516,10.679,7.578,7.958,3.654,3.896,9.942,3.358,8.315,13.337,10.294,0.698,13.913,13.545,0.444,0.998,10.381,1.996,8.846,8.789,0.322,9.685,4.717,7.503,3.849,10.633,9.193,12.366,12.393,11.452,5.587,10.405,9.782,8.522,12.191,5.6,10.51,9.496,10.661,9.34,13.989,3.161,9.935,1.052,12.663,8.602,17.318,12.583,8.614,2.632,9.636,0.717,7.713,4.22,12.203,8.24,13.509,0.533,11.94,4.851,19.652,8.366,4.528,0.451,7.247,1.62,1.84,0.629,5.321,6.149,12.568,1.214,9.265,4.22,10.435,8.54,4.711,1.725,5.577,9.108,5.464,1.273,6.622,1.535,5.017,3.035,2.559,1.336,7.394,2.544,3.682,3.836,1.149,6.156,3.58,5.969,6.144,0.271,10.192,12.111,6.168,8.603,4.003,4.499,4.575,9.695,5.804,2.149,6.239,6.972,2.384,10.299,7.192,0.838,3.256,8.993,2.979,3.69,2.724,5.675,2.563,4.209,6.029,7.498,1.23,6.341,4.614,8.294,8.721,4.854,2.079,0.899,8.06,6.631,3.553,4.158,12.929,8.595,5.473,4.99,12.179,5.46,3.661,13.214,5.725,8.556,1.482,6.143,5.648,6.87,8.429,12.169,9.365,1.305,8.709,11.332,6.859,7.427,8.687,7.82,8.588,9.996,3.636,10.69,8.32,13.063,5.113,9.693,1.997,7.929,8.04,10.631,14.164,8.208,9.506,7.785,8.325,8.272,2.74,8.687,5.216,9.601,7.245,9.522,3.934,0.974
70,1.138,12.3249788,0.001,0,0,1.15,0.596,0.415,0.522,0.581,0.413,0.504,0.63,0.555,0.571,0,20.283,0,0,20.283,0,200,200,74|60|5|27|26,24.129|20.283|19.589|16.635|16.628,12.045,6.491,11.493,3.425,1.762,19.589,8.931,12.602,6.853,14.948,7.683,8.587,10.748,1.089,6.4,12.46,9.974,10.773,5.253,5.626,12.053,3.873,9.877,15.744,12.59,1.271,16.628,16.635,0.643,1.526,13.007,1.906,10.111,12.294,1.068,12.02,5.911,8.545,5.05,12.106,10.867,14.264,14.047,13.066,5.616,11.785,10.432,9.483,13.77,6.593,11.709,10.62,11.864,10.323,15.677,3.365,12.696,0.943,14.177,10.108,20.283,14.663,9.428,2.756,10.839,0.839,8.318,4.83,13.36,8.849,14.951,0.555,13.594,6.11,24.129,10.514,5.32,0.32,8.204,1.897,1.946,0.066,6.03,6.839,14.169,1.168,11.28,5.277,13.689,10.774,5.909,2.134,5.992,10.873,5.745,1.026,7.265,1.637,5.869,3.538,3.337,1.272,8.877,3.002,4.066,4.364,0.943,7.248,4.205,6.692,7.139,0.475,11.691,13.822,7.093,9.964,4.719,5.507,5.486,11.121,6.917,2.932,7.216,8.595,3.187,12.305,8.554,1.35,3.986,11.141,3.754,4.72,3.092,6.697,3.548,5.343,7.319,8.576,1.843,7.656,5.406,9.697,10.065,5.151,2.31,1.404,9.397,7.505,4.451,4.75,14.594,9.916,6.288,5.751,13.823,6.111,3.897,14.997,6.373,10.027,1.184,6.88,6.507,7.783,9.938,13.849,10.651,1.473,9.934,12.675,7.527,8.225,9.705,9.089,9.802,11.693,4.117,12.276,10.097,14.942,6.073,11.171,1.966,9.26,9.365,12.239,16.617,9.032,10.65,8.539,9.689,8.983,3.293,9.776,5.739,11.417,8.458,10.903,4.956,1.269
80,1.061,12.3482819,0.001,0,0,1.073,0.618,0.47,0.546,0.584,0.451,0.504,0.63,0.555,0.571,0,22.771,0,0,22.771,0,200,200,74|5|60|27|26,28.304|23.468|22.771|19.644|19.288,16.658,8.675,14.863,5.539,3.145,23.468,11.028,15.228,8.592,17.983,9.882,9.906,12.426,0.97,7.455,14.135,11.907,13.88,7.356,8.075,14.315,4.38,11.472,18.046,14.872,2.123,19.288,19.644,0.972,2.077,15.315,1.778,11.359,15.935,2.419,14.671,7.389,9.906,6.359,14.046,12.862,16.203,15.677,14.711,5.138,12.896,10.883,10.437,15.329,7.74,12.733,11.836,12.816,11.198,17.283,3.72,15.982,0.581,15.651,11.832,22.771,16.626,10.273,2.987,12.047,1.034,8.63,5.59,14.62,9.383,16.308,1.048,15.238,7.479,28.304,12.636,6.057,1.059,9.306,2.313,2.212,0.736,6.535,7.492,15.394,0.826,13.014,6.348,16.224,12.537,6.952,2.647,6.353,12.288,5.926,0.524,8.132,1.662,6.988,4.006,4.413,1.596,10.578,3.777,4.821,4.82,0.673,8.282,4.669,7.336,8.181,0.73,13.069,15.417,7.953,11.241,5.49,6.676,6.504,12.666,8.14,3.638,8.247,10.337,4.182,14.46,10.068,2.043,4.989,13.086,4.428,5.897,3.294,7.794,4.373,6.47,8.521,9.85,2.539,9.133,6.222,11.24,11.312,5.572,2.429,1.999,10.659,8.379,5.463,5.212,16.054,11.089,6.951,6.44,15.318,6.416,4.163,16.743,6.936,11.564,0.657,7.508,7.547,8.485,11.361,15.518,11.764,1.643,11.036,13.779,8.025,8.773,10.547,10.184,10.831,13.248,4.615,14.015,12.04,16.887,7.064,12.872,1.855,10.707,10.896,13.891,19.005,9.946,11.77,9.274,11.174,9.642,4.076,11.13,6.517,13.575,9.866,12.647,6.225,1.637
90,1.039,12.3577404,0.001,0,0,1.052,0.636,0.513,0.573,0.616,0.505,0.547,0.63,0.555,0.571,0,24.651,0,0,24.651,0,200,200,74|5|60|27|26,31.794|26.931|24.651|22.715|21.944,19.434,10.933,17.808,7.899,4.637,26.931,13.027,17.631,10.158,20.724,11.62,11.037,13.736,0.858,8.531,15.615,13.65,16.842,9.482,10.77,16.295,4.82,12.955,20.09,17.046,3.321,21.944,22.715,1.447,2.671,17.537,1.869,12.724,19.885,3.921,17.347,8.978,11.457,7.875,16.275,14.763,18.264,17.206,16.376,4.875,13.988,11.526,11.54,16.852,8.949,13.831,13.105,13.717,12.172,19.014,4.205,19.37,0.306,17.061,13.428,24.651,18.557,11.214,3.338,13.472,1.07,9.119,6.373,15.948,10.09,17.83,0.905,16.924,8.49,31.794,14.033,6.867,1.606,10.271,2.81,2.78,1.321,7.014,8.28,16.475,0.402,14.78,7.365,17.407,13.344,8.088,3.092,6.659,13.541,6.344,0.068,9.111,1.77,8.03,4.567,5.599,2.187,12.15,4.59,5.259,5.238,0.381,9.331,4.956,7.769,8.979,1.026,14.249,16.724,8.522,12.357,5.955,7.618,7.291,14.024,9.155,4.175,9.092,11.818,4.92,16.402,11.453,2.671,5.874,14.854,5.068,6.851,3.483,8.813,5.059,7.381,9.497,10.636,3.13,10.45,6.938,12.613,12.416,6.043,2.515,2.538,11.794,8.946,6.259,5.589,17.325,12.232,7.517,7.036,16.528,6.578,4.207,18.397,7.491,12.926,0.27,7.839,8.516,9.229,12.623,16.994,12.545,1.556,11.824,14.658,8.454,9.13,11.273,11.238,11.807,14.651,5.087,15.685,13.974,18.716,8.067,14.556,2.165,12.21,12.459,15.554,21.277,10.608,12.898,9.89,12.533,10.312,5.007,12.471,7.459,15.571,11.505,14.465,7.611,2.134
