dataset,target_size,algorithm,time,oa,aa,k,selected_features,fold
indian_pines,5,zhang_mean_fc_nosig6,180.184,0.805,0.816,0.776,33|41|68|129|183,0
indian_pines,6,zhang_mean_fc_nosig6,0.0,0.791,0.81,0.761,33|41|68|129|139|183,0
indian_pines,7,zhang_mean_fc_nosig6,0.0,0.822,0.789,0.797,5|33|41|68|129|139|183,0
indian_pines,8,zhang_mean_fc_nosig6,0.0,0.814,0.78,0.787,5|33|41|68|129|139|149|183,0
indian_pines,9,zhang_mean_fc_nosig6,0.0,0.811,0.768,0.784,5|33|41|68|129|139|147|149|183,0
indian_pines,10,zhang_mean_fc_nosig6,0.0,0.825,0.797,0.8,5|26|33|41|68|129|139|147|149|183,0
indian_pines,11,zhang_mean_fc_nosig6,0.0,0.822,0.796,0.797,5|23|26|33|41|68|129|139|147|149|183,0
indian_pines,12,zhang_mean_fc_nosig6,0.0,0.843,0.841,0.82,5|19|23|26|33|41|68|129|139|147|149|183,0
indian_pines,13,zhang_mean_fc_nosig6,0.0,0.824,0.783,0.799,5|19|23|26|33|41|68|74|129|139|147|149|183,0
indian_pines,14,zhang_mean_fc_nosig6,0.0,0.819,0.775,0.792,5|19|23|26|33|41|68|74|88|129|139|147|149|183,0
indian_pines,15,zhang_mean_fc_nosig6,0.0,0.803,0.767,0.775,5|19|23|26|33|41|56|68|74|88|129|139|147|149|183,0
indian_pines,16,zhang_mean_fc_nosig6,0.0,0.814,0.771,0.787,5|19|23|26|30|33|41|56|68|74|88|129|139|147|149|183,0
indian_pines,17,zhang_mean_fc_nosig6,0.0,0.815,0.769,0.789,5|17|19|23|26|30|33|41|56|68|74|88|129|139|147|149|183,0
indian_pines,18,zhang_mean_fc_nosig6,0.0,0.817,0.771,0.791,5|17|19|23|26|30|33|41|56|68|74|81|88|129|139|147|149|183,0
indian_pines,19,zhang_mean_fc_nosig6,0.0,0.809,0.788,0.781,5|17|19|23|26|30|33|41|56|60|68|74|81|88|129|139|147|149|183,0
indian_pines,20,zhang_mean_fc_nosig6,0.0,0.815,0.792,0.788,5|17|19|23|26|30|33|39|41|56|60|68|74|81|88|129|139|147|149|183,0
indian_pines,21,zhang_mean_fc_nosig6,0.0,0.787,0.754,0.756,0|5|17|19|23|26|30|33|39|41|56|60|68|74|81|88|129|139|147|149|183,0
indian_pines,22,zhang_mean_fc_nosig6,0.0,0.791,0.754,0.761,0|5|17|19|23|26|30|33|39|41|56|60|65|68|74|81|88|129|139|147|149|183,0
indian_pines,23,zhang_mean_fc_nosig6,0.0,0.798,0.752,0.769,0|5|17|19|23|26|30|33|39|41|56|60|65|68|74|77|81|88|129|139|147|149|183,0
indian_pines,24,zhang_mean_fc_nosig6,0.0,0.802,0.753,0.774,0|5|17|19|23|26|30|33|38|39|41|56|60|65|68|74|77|81|88|129|139|147|149|183,0
indian_pines,25,zhang_mean_fc_nosig6,0.0,0.809,0.765,0.782,0|5|17|19|23|26|30|33|38|39|41|56|60|65|68|74|77|80|81|88|129|139|147|149|183,0
indian_pines,26,zhang_mean_fc_nosig6,0.0,0.802,0.76,0.773,0|5|17|19|23|26|30|33|38|39|41|56|60|65|68|74|77|80|81|88|98|129|139|147|149|183,0
indian_pines,27,zhang_mean_fc_nosig6,0.0,0.815,0.79,0.788,0|5|17|19|23|26|30|33|38|39|41|56|60|65|68|74|77|80|81|88|98|129|139|147|149|174|183,0
indian_pines,28,zhang_mean_fc_nosig6,0.0,0.821,0.791,0.796,0|5|17|19|23|26|30|33|38|39|41|56|60|65|68|74|77|80|81|88|98|116|129|139|147|149|174|183,0
indian_pines,29,zhang_mean_fc_nosig6,0.0,0.82,0.792,0.794,0|5|17|19|23|26|30|33|38|39|41|56|60|65|68|74|77|80|81|88|97|98|116|129|139|147|149|174|183,0
indian_pines,30,zhang_mean_fc_nosig6,0.0,0.824,0.795,0.798,0|5|17|19|23|26|30|33|38|39|41|48|56|60|65|68|74|77|80|81|88|97|98|116|129|139|147|149|174|183,0
